ticker,name,sector,function
AAN,Aaron's Inc,Consumer Discretionary,Homefurnishing Retail
ABMD,Abiomed,Health Care,Health Care Equipment
ACC,American Campus Communities,Real Estate,Residential REITs
ACHC,Acadia Healthcare,Health Care,Health Care Facilities
ACIW,ACI Worldwide Inc,Information Technology,Application Software
ACM,AECOM,Industrials,Construction & Engineering
ACXM,Acxiom,Information Technology,Application Software
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail
AFG,American Financial Group Inc,Financials,Multi-line Insurance
AGCO,AGCO Corp,Industrials,Construction & Farm Equipment & Heavy Trucks
AHL,Aspen Insurance Holdings Ltd,Financials,Insurance Brokers
AKRX,"Akorn, Inc",Health Care,Pharmaceuticals
ALEX,Alexander & Baldwin Inc,Real Estate,Diversified Real Estate Activities
Y,Alleghany Corp,Financials,Reinsurance
ATI,Allegheny Technologies Inc,Materials,Steel
AMCX,AMC Networks,Consumer Discretionary,Cable & Satellite
AN,AutoNation,Consumer Discretionary,Automotive Retail
WTR,Aqua America Inc,Utilities,Water Utilities
ARW,Arrow Electronics Inc,Information Technology,Technology Distributors
ARRS,ARRIS Group Inc,Information Technology,Communications Equipment
ASB,Associated Banc-Corp,Financials,Regional Banks
ASH,Ashland Inc,Materials,Diversified Chemicals
ATO,Atmos Energy Corp,Utilities,Gas Utilities
ATR,AptarGroup Inc,Materials,Metal & Glass Containers
CAR,Avis Budget Group,Industrials,Trucking
AVT,Avnet Inc,Information Technology,Technology Distributors
AVP,Avon Products Inc,Consumer Staples,Personal Products
BBBY,Bed Bath & Beyond,Consumer Discretionary,Homefurnishing Retail
BC,Brunswick Corp,Consumer Discretionary,Leisure Products
BDC,Belden Inc,Information Technology,Electronic Components
BID,Sotheby's,Consumer Discretionary,Diversified Consumer Services
BIG,Big Lots Inc,Consumer Discretionary,General Merchandise Stores
BIO,Bio-Rad Laboratories-A,Health Care,Life Sciences Tools & Services
BIVV,Bioverativ,Health Care,Biotechnology
BKH,Black Hills Corp,Utilities,Multi-Utilities
BLKB,Blackbaud,Information Technology,Application Software
BMS,Bemis Company,Materials,Paper Packaging
BOH,Bank of Hawaii Corp,Financials,Regional Banks
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services
BRCD,Brocade Communications Systems,Information Technology,Communications Equipment
BRO,Brown & Brown Inc,Financials,Insurance Brokers
BWLD,Buffalo Wild Wings Inc,Consumer Discretionary,Restaurants
BXS,BancorpSouth Inc,Financials,Regional Banks
CAA,CalAtlantic Group Inc,Consumer Discretionary,Homebuilding
CAB,Cabela's Inc,Consumer Discretionary,Specialty Stores
