13643,37,104,5.4,-37,-0.19,,,190,,166,-74,91,63.04,36.96,21.65,5.38,-8.64,-3.26,,-1.89,0.44,-0.83,16.23,-11.16,2.11,-8.81,3.84,4.7,-2.49,5.93,10.23,1.09,27.54,8.3,3.35,4.98,5.13,,11.54,63.81,18.5,93.84,6.16,2.39,1.4,16.23,10.36,79.5,55.48,161.17,4.59,5.55,0.44,0
2406,52,2283,17.4,1241,6.2,3,48,201,42,3324,-2479,845,48.04,51.96,1.45,17.44,-3.36,14.08,32.71,9.32,0.37,3.47,4.6,15.42,8.3,14.01,18.93,6.46,0.68,5.24,4.04,2.09,14.09,61.25,23.62,4.03,4.17,,10.28,30.52,36.59,77.39,22.61,1.37,0.9,4.6,1.45,29.08,72.73,11.27,12.55,0.6,0.37,0
9046,100,78,29,19,0.92,0.5,81,20,10,105,-2,102,,100,71.06,28.94,11.03,39.97,5.82,6.92,0.42,2.91,3.1,9.18,7.56,-17.62,0.81,38.08,5.5,84.44,3.42,2.36,90.23,2.63,6.16,,5.03,1.65,13.83,7.12,46.85,67.79,32.21,6.52,6.36,3.1,0.22,22.67,,,16.1,14.74,0.42,0
787,72,10,4,15,0.1,,,146,1.82,48,-10,38,27.89,72.11,50.97,4.36,4.12,8.47,26.13,6.26,0.97,6.06,1.3,8.03,3.99,162.07,4.11,16.27,2.6,72.89,15.21,1.52,92.41,5.58,2.01,6.02,7.01,7.95,20.98,,2.09,23.07,76.93,4.4,4.2,1.3,,52.66,87.03,12.32,6.93,17.81,0.97,0
12208,19.2,6,6,6,0.49,,,12,2.9,3,0,3,80.8,19.2,11.63,6.03,0.12,6.16,7.16,5.72,2.08,11.89,1.5,18.61,18.46,11.14,0.26,2.45,0.43,53.79,34.4,1.05,89.24,2.11,0.81,0.34,6.64,23.93,30.9,,2.31,33.21,66.79,2.89,2.85,1.5,,55.87,0.74,,6.53,85.18,2.08,0
3748,10,1498,6,828,1.56,,,532,6,1772,-149,1622,90.2,9.8,3.75,6.06,-0.76,5.29,36.87,3.34,2.84,9.49,3.36,35.75,18.53,12.61,0.6,6.56,1.96,8.97,21.13,2,34.73,2.97,0.27,29.82,4.63,0.06,45.74,20.89,3.6,70.23,29.77,0.76,0.66,3.36,0.7,27.12,9.84,21.5,13.46,85.89,2.84,1
10049,,-29,-2,312,51.13,1,1.8,6,669.89,118,-11,107,,,15.34,-2.08,,-2.08,17.67,12.43,0.22,2.76,2.62,7.89,,8.32,0.82,7.6,0.34,11.91,5.78,,,,,1.04,,,,7.14,,61.78,38.22,,,2.62,0.19,,,,,,0.22,0
1721,15.3,30,9.2,22,2.91,,,7,,-3,-27,-30,84.71,15.29,5.42,9.2,,9.2,26.51,6.76,2.96,19.96,2.17,43.34,37.53,315.32,8.13,-9.02,-1.34,,47.09,0.89,59.26,32.61,,,,23.42,41.2,10.04,2.6,53.84,46.16,1.44,1.14,2.17,0.22,77.59,15.07,82.18,4.7,9,2.96,0
4729,24.3,310,16.1,201,1.82,,,110,12.84,442,-185,257,75.68,24.32,8.18,16.14,-0.22,15.92,34.3,10.46,0.98,10.26,1.46,15.34,14.93,5.21,9.66,13.38,1.28,12.08,20.88,3.83,48.44,38.73,5.78,4.21,15.48,,21.66,,9.87,31.53,68.47,2.24,1.52,1.46,,81.79,21.64,119.11,4.46,2.47,0.98,0
3267,18.5,-54,-1.7,-134,-1.39,0.45,,96,16.29,588,-114,474,81.45,18.55,15.05,-1.72,-1.28,-3,,-4.26,0.74,-3.14,2.54,-8.33,-4.87,-44.53,3.63,15.07,-3.53,18.86,10.26,4.61,50.48,33.32,7.37,8.87,3.31,0.23,13.49,11.71,35.43,60.63,39.37,3.74,2.15,2.54,0.3,59.29,56.96,131.91,6.16,2.04,0.74,0
3995,72.7,5303,28.2,10612,5.34,1.25,76.6,1974,8.69,4065,-730,3335,27.33,72.67,27.72,28.2,1.59,29.79,21.1,56.42,0.62,35.05,2.09,78.36,53.33,-8.69,3.88,17.73,0.31,27.46,10.2,2.8,45.01,16.3,12.62,5.52,10.99,2.54,20.36,19.77,12,52.13,47.87,2.21,1.85,2.09,0.41,66.7,115.25,64.29,5.47,3.6,0.62,0
14501,85.2,1439,20.3,1186,2.78,,,424,19.92,2381,-153,2228,14.85,85.15,42.94,20.29,0.48,20.77,19.48,16.72,0.44,7.32,2.06,14.81,12.04,7.94,2.16,31.41,1.88,47.98,11.94,2.18,62.1,6.3,4.27,0.75,4.34,22.27,27.36,9.01,14.97,51.35,48.65,2.27,2.19,2.06,0.19,89.77,45.58,,4.07,6.52,0.44,0
12019,43.8,-642,-96.4,-655,-5.85,,,112,11.13,-3,-23,-26,56.2,43.8,45.6,-96.36,-1.96,-98.32,,-98.4,0.55,-54.19,1.36,-67.27,-66.5,1.91,3.5,-3.97,0.04,17.42,17.62,1.52,48.41,9.63,3.3,5.25,4.7,5.08,16.29,,10.29,26.57,73.43,2.97,2.15,1.36,0.01,89.27,54.23,133.77,4.09,7.94,0.55,0
7480,22.6,-28,-0.6,1,0.01,,,98,32.63,266,-169,97,77.39,22.61,14.72,-0.62,-0.98,-1.6,,-0.04,0.71,-0.03,2.04,-0.06,1.14,-5.32,3.75,2.15,97,4.16,11.02,1.8,25.6,38.58,34.72,5.82,3.18,0.06,9.22,8.41,33.46,51.09,48.91,2.78,1.65,2.04,0.17,53.74,34.44,72.61,6.79,1.82,0.71,0
1694,21.9,19,1.7,-4,-0.14,,,32,2.68,45,-81,-36,78.08,21.92,18.88,1.71,-1.52,0.18,76.57,-0.41,2.86,-1.16,4.84,-5.22,-1.78,13.49,7.35,-3.28,8.01,5.66,16,6.03,27.69,46.2,22.3,6.89,15.59,8.78,31.3,38.97,9.05,79.32,20.68,0.88,0.69,4.84,1.88,20.63,10.06,,17.69,6.85,2.86,0
13174,42.7,235,21.4,131,0.44,0.54,128.1,274,4.35,287,-406,-118,57.33,42.67,4.23,21.43,-9.61,11.82,28.67,11,0.17,1.82,4.82,7.03,4.5,6.63,37.02,-10.81,-0.9,1.34,2.3,2.06,5.96,59.28,30.26,1.1,3.74,1.67,6.63,51.66,18.39,76.68,23.32,0.9,0.55,4.82,2.49,62.66,40.96,36.26,5.82,0.25,0.17,0
1786,32,-191,-7,-93,-0.75,,,124,9,192,-101,91,67.95,32.05,21.32,-6.87,0.98,-5.88,,-3.33,1.03,-3.44,2.47,-6.95,-4.35,-2.06,3.61,3.3,-0.99,8.45,18.43,7.54,34.42,14.81,11.92,2.41,11.3,4.3,28.09,14.3,17.13,59.52,40.48,1.23,0.96,2.47,0.35,70.85,9.61,,5.15,7.09,1.03,0
1538,,102,18,79,1.8,0.49,28,44,16.53,161,-6,155,,,7.5,18.14,0.86,19,26.19,14.02,0.22,3.12,3.42,10.61,,-14,1.07,27.69,1.97,4.05,3.81,,,0.89,,1.25,1.36,,,4.13,,70.73,29.27,,,3.42,0.14,,,,,26.96,0.22,0
6879,59.4,-77,-24.3,-79,-0.68,,,117,,-28,-51,-79,40.63,59.37,46.14,-24.32,-0.66,-24.98,,-25.05,0.41,-10.23,,,,198.11,15.97,-24.78,0.99,51.09,13.49,2.1,66.68,22.32,2.28,1.01,5.64,5.87,13.21,,116.63,129.84,-29.84,5.05,4.89,,,87.52,18.39,,4.17,2.56,0.41,0
10979,20.5,13,7.3,7,0.51,,,14,6.12,-2,-1,-2,79.51,20.49,12.57,7.31,-1.34,5.97,34.54,2.69,1.06,2.85,3.02,7.49,5.14,7.76,0.52,-1.37,-0.34,1.38,22.05,0.97,55.14,9.12,3.86,11.39,3.74,1.44,26.68,29.63,10.55,66.86,33.14,2.07,0.88,3.02,0.92,68.66,51.57,160.77,5.32,13.21,1.06,0
4077,,33,15.2,31,0.72,0.04,5.5,35,17.97,124,-37,88,,,43.82,15.2,-21.76,15.2,6.93,11.88,0.06,0.69,6.02,4.45,,50,16.78,40.28,2.85,12.08,0.26,,,2.19,,,,,,3.43,,83.39,16.61,,,6.02,0.21,,,,,2.79,0.06,1
5351,62,36,19,18,0.38,0.17,42,48,4,75,-56,19,38.25,61.75,23.35,18.61,-2.13,16.48,41.64,9.27,0.53,4.9,2.45,9.88,7.12,21.34,28.65,9.87,1.07,5.89,4.98,2.95,15.18,60.04,3.05,2.62,1.9,1.92,9.63,38.65,10.92,59.2,40.8,1.58,1.13,2.45,0.95,33.42,51.56,12.3,10.92,0.81,0.53,0
6691,39.5,170,12.1,123,1.24,0.24,18.5,98,6.24,79,-19,59,60.49,39.51,27.44,12.08,-0.09,11.99,27.01,8.75,1.72,15.05,1.47,21.97,21.85,12.86,1.38,4.22,0.48,16.44,25.83,4.67,74.5,9.22,9.68,6.7,8.08,0.04,17.46,,14.6,32.06,67.94,4.27,2.42,1.47,,53.93,25.95,122.93,6.77,18.43,1.72,0
